hanja	hangul	require_hanja	require_hangul
一手	일수	false	false
一手一足	일수일족	false	false
一手不退	일수불퇴	false	false
一手不退하다	일수불퇴하다	false	false
一手不通	일수불통	false	false
一手不通하다	일수불통하다	false	false
一手專賣	일수전매	false	false
一手販賣	일수판매	false	false
一才一藝	일재일예	false	false
一技	일기	false	false
一抔土	일부토	false	false
一抹	일말	false	false
一括	일괄	false	false
一括的	일괄적	false	false
一括되다	일괄되다	false	false
一括하다	일괄하다	false	false
一指	일지	false	false
一掃	일소	false	false
一掃되다	일소되다	false	false
一掃하다	일소하다	false	false
一掬	일국	false	false
一掬淚	일국루	false	false
一掬하다	일국하다	false	false
一揆	일규	false	false
一換性	일환성	false	false
一握	일악	false	false
一撮	일촬	false	false
一撮土	일촬토	false	false
一擊	일격	false	false
一擧	일거	false	false
一擧一動	일거일동	false	false
一擧三得	일거삼득	false	false
一擧三得하다	일거삼득하다	false	false
一擧二得	일거이득	false	false
一擧兩全	일거양전	false	false
一擧兩全하다	일거양전하다	false	false
一擧兩失	일거양실	false	false
一擧兩失하다	일거양실하다	false	false
一擧兩得	일거양득	false	false
一擧兩得하다	일거양득하다	false	false
一擧兩用	일거양용	false	false
一擧兩用하다	일거양용하다	false	false
一擧千里	일거천리	false	false
一擧千里하다	일거천리하다	false	false
一擧多得	일거다득	false	false
一擧多得하다	일거다득하다	false	false
一擧手一投足	일거수일투족	false	false
一擲	일척	false	false
一擲乾坤	일척건곤	false	false
一擲千金	일척천금	false	false
一擲百萬	일척백만	false	false
一擲百萬하다	일척백만하다	false	false
一擲하다	일척하다	false	false
一攫	일확	false	false
一攫千金	일확천금	false	false
一攫千金하다	일확천금하다	false	false
一攫하다	일확하다	false	false
一支	일지	false	false
一放	일방	false	false
一放砲手	일방포수	false	false
一放부시	일방부시	false	false
一敗塗地	일패도지	false	false
一敗塗地하다	일패도지하다	false	false
一數	일수	false	false
一文	일문	false	false
一文不知	일문부지	false	false
一文不知하다	일문부지하다	false	false
一文不通	일문불통	false	false
一文不通하다	일문불통하다	false	false
一文錢	일문전	false	false
一斑	일반	false	false
一新	일신	false	false
一新되다	일신되다	false	false
一新하다	일신하다	false	false
一方	일방	false	false
一方交通	일방교통	false	false
一方向	일방향	false	false
一方步	일방보	false	false
一方的	일방적	false	false
一方通行	일방통행	false	false
一方通行路	일방통행로	false	false
一族	일족	false	false
一日	일일	false	false
一日一夜	일일일야	false	false
一日三秋	일일삼추	false	false
一日之孤	일일지고	false	false
一日之患	일일지환	false	false
一日之憂	일일지우	false	false
一日之樂	일일지락	false	false
一日之歡	일일지환	false	false
一日之長	일일지장	false	false
一日之雅	일일지아	false	false
一日九遷	일일구천	false	false
一日千秋	일일천추	false	false
一日千里	일일천리	false	false
一日如三秋	일일여삼추	false	false
一日如三秋하다	일일여삼추하다	false	false
一日潮	일일조	false	false
一日片時	일일편시	false	false
一日生活圈	일일생활권	false	false
一日瘧	일일학	false	false
一日程	일일정	false	false
一日萬機	일일만기	false	false
一日量	일일량	false	false
